"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Test allure SNK_1","Test 4","0","0","1","0","0"
"","Test allure SNK_1","Test 3","0","0","1","0","0"
"","Test allure SNK_1","Test 1","0","0","1","0","0"
"","Test allure SNK_1","Test 6","0","0","0","1","0"
"","Test allure SNK_1","Test 5","0","0","1","0","0"
"","Test allure SNK_1","Test 2","0","0","1","0","0"
"","Test allure English SNK","Test multiply","0","0","1","0","0"
