"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","184","","Test allure SNK_1","","Test allure SNK_1","Test 1","Test 1","null

null"
"skipped","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","6","","Test allure SNK_1","","Test allure SNK_1","Test 6","Test 6","null

null"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","10","","Test allure English SNK","","Test allure English SNK","Test multiply","Test multiply","null

null"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","1","","Test allure SNK_1","","Test allure SNK_1","Test 4","Test 4","null

null"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","1","","Test allure SNK_1","","Test allure SNK_1","Test 2","Test 2","null

null"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","1","","Test allure SNK_1","","Test allure SNK_1","Test 5","Test 5","null

null"
"passed","Tue Mar 07 06:38:15 GMT 2023","Tue Mar 07 06:38:15 GMT 2023","1","","Test allure SNK_1","","Test allure SNK_1","Test 3","Test 3","null

null"
