"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","9","","Test allure English SNK","","Test allure English SNK","Test multiply","Test multiply","null

null"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","3","","Test allure SNK_1","","Test allure SNK_1","Test 2","Test 2","null

null"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","2","","Test allure SNK_1","","Test allure SNK_1","Test 4","Test 4","null

null"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","2","","Test allure SNK_1","","Test allure SNK_1","Test 5","Test 5","null

null"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","182","","Test allure SNK_1","","Test allure SNK_1","Test 1","Test 1","null

null"
"passed","Tue Mar 07 06:16:35 GMT 2023","Tue Mar 07 06:16:35 GMT 2023","2","","Test allure SNK_1","","Test allure SNK_1","Test 3","Test 3","null

null"
